R0	0x0010
R1	0x010B
R2	0x0232
R3	0x0300
R4	0x0400
R5	0x0500
R6	0x0600
R7	0x0700
R8	0x0800
R9	0x0900
R10	0x0A00
R11	0x0B00
R12	0x0CDF
R13	0x0D00
R14	0x0E00
R15	0x0F00
R16	0x1000
R17	0x1100
R18	0x1200
R19	0x1300
R20	0x14FF
R21	0x15FF
R22	0x16FF
R23	0x1702
R24	0x1800
R25	0x19F5
R26	0x1A00
R27	0x1B58
R28	0x1C28
R29	0x1D02
R30	0x1E0C
R31	0x1F20
R32	0x2030
R33	0x2113
R34	0x2230
R35	0x237C
R36	0x2413
R37	0x2510
R38	0x262F
R39	0x2710
R40	0x282F
R41	0x2950
R42	0x2A27
R43	0x2B50
R44	0x2C27
R45	0x2D0A
R46	0x2E00
R47	0x2F00
R48	0x30FF
R49	0x3100
R50	0x3285
R51	0x3303
R52	0x3400
R53	0x3500
R54	0x3600
R55	0x3700
R56	0x381E
R57	0x3915
R58	0x3A00
R59	0x3B62
R60	0x3C00
R61	0x3D00
R62	0x3E22
R63	0x3F00
R64	0x4000
R65	0x412D
R66	0x4203
R67	0x431A
R68	0x4403
R69	0x457D
R70	0x4607
R71	0x4706
R72	0x4818
R73	0x4900
R74	0x4A60
R75	0x4B00
R76	0x4C00
R77	0x4D00
R78	0x4E00
R79	0x4F00
R80	0x5001
R81	0x510C
R82	0x5208
R83	0x5301
R84	0x5404
R85	0x5507
R86	0x5600
R87	0x5700
R88	0x5800
R89	0x59DE
R90	0x5A01
R91	0x5B18
R92	0x5C01
R93	0x5D4B
R94	0x5E01
R95	0x5F86
R96	0x6001
R97	0x61BE
R98	0x6201
R99	0x63FE
R100	0x6402
R101	0x6547
R102	0x6602
R103	0x679E
R104	0x6800
R105	0x6900
R106	0x6A05
R107	0x6B0F
R108	0x6C0F
R109	0x6D0F
R110	0x6E0F
R111	0x6F00
R112	0x7000
R113	0x7100
R114	0x7200
R115	0x7308
R116	0x7419
R117	0x7580
R118	0x7607
R119	0x7705
R120	0x7800
R121	0x790F
R122	0x7A0F
R123	0x7B0F
R124	0x7C0F
R125	0x7D00
R126	0x7E00
R127	0x7F00
R128	0x8000
R129	0x8108
R130	0x8219
R131	0x8300
R132	0x8407
R133	0x8505
R134	0x8600
R135	0x8700
R136	0x8800
R137	0x8910
R138	0x8A00
R139	0x8B00
R140	0x8C00
R141	0x8D00
R142	0x8E00
R143	0x8F00
R144	0x9000
R145	0x9100
R169	0xA940
R172	0xAC24
R173	0xAD00
